eps,min_samples,silhouette_score,davies_bouldin_score,noise_ratio
0.3,2,0.6304631330227382,0.4903518658188434,0.784
0.3,4,0.6048205527628193,0.5525217314601828,0.925
0.3,3,0.5868086999757677,0.5682064947554997,0.88
0.4,2,0.5451174020827659,0.5978203282579029,0.693
0.4,5,0.5260219021039665,0.6991280299637579,0.879
0.3,5,0.5140943100093712,0.6734566782522972,0.958
0.4,3,0.5054219732257602,0.698354583405807,0.773
0.4,4,0.5044101637895125,0.7231685381061653,0.826
0.5,2,0.4614827119289616,0.7695280456143428,0.608
0.5,3,0.43211669416653564,0.8784903030776819,0.7
0.5,4,0.4227334791854699,0.8984902629586474,0.744
0.5,5,0.39371658892978434,0.9718653193020184,0.792
0.7,2,0.31851010598650437,0.9550989812474223,0.486
0.7,5,0.30492604019211694,1.1799414945980076,0.64
0.7,3,0.28477260538497945,1.0766250055520772,0.568
0.7,4,0.28125775892297816,1.1137055745560158,0.623
0.8,2,0.2193083433642023,1.1796145043035764,0.419
0.8,3,0.19175506745504708,1.3190351011481538,0.487
0.8,4,0.18815423160709907,1.37116178478398,0.536
0.8,5,0.18505740914585173,1.4166080477489837,0.577
